Area Code,Area Name,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,,"-53,735",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2018,Balance imports/exports (millions of US dollars),,,"-52,013",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2019,Balance imports/exports (millions of US dollars),,,"-50,241",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2020,Balance imports/exports (millions of US dollars),,,"-41,385",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,1995,Imports CIF (millions of US dollars),,,"5,412",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2005,Imports CIF (millions of US dollars),,,"18,680",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2010,Imports CIF (millions of US dollars),,,"43,623",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2015,Imports CIF (millions of US dollars),,,"56,081",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2018,Imports CIF (millions of US dollars),,,"41,324",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2019,Imports CIF (millions of US dollars),,,"50,981",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2020,Imports CIF (millions of US dollars),,,"61,885",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,1995,Exports FOB (millions of US dollars),,,"10,954",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2005,Exports FOB (millions of US dollars),,,"48,958",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2010,Exports FOB (millions of US dollars),,,"90,717",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2015,Exports FOB (millions of US dollars),,,"70,653",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2018,Exports FOB (millions of US dollars),,,"89,991",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2019,Exports FOB (millions of US dollars),,,"81,998",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2020,Exports FOB (millions of US dollars),,,"108,968",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,1995,Balance imports/exports (millions of US dollars),,,"5,542",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2005,Balance imports/exports (millions of US dollars),,,"30,278",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2010,Balance imports/exports (millions of US dollars),,,"47,094",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2015,Balance imports/exports (millions of US dollars),,,"14,572",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2018,Balance imports/exports (millions of US dollars),,,"48,667",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2019,Balance imports/exports (millions of US dollars),,,"31,018",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
17,Middle Africa,2020,Balance imports/exports (millions of US dollars),,,"47,083",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,1995,Imports CIF (millions of US dollars),,,"26,745",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2005,Imports CIF (millions of US dollars),,,"63,786",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2010,Imports CIF (millions of US dollars),,,"97,723",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2015,Imports CIF (millions of US dollars),,,"104,174",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
